state,local,mean,,,,,,,,,,,,,,,,
Abia,Aba North,245825.278,,,,,,,,,,,,,,,,
Abia,Aba South,380211.9108,,,,,,,,,,,,,,,,
Abia,Arochukwu,146354.5149,,,,,,,,,,,,,,,,
Abia,Bende,236492.5846,,,,,,,,,,,,,,,,
Abia,Ikwuano,153494.9633,,,,,,,,,,,,,,,,
Abia,Isiala-Ngwa North,231792.9538,,,,,,,,,,,,,,,,
Abia,Isiala-Ngwa South,267528.7557,,,,,,,,,,,,,,,,
Abia,Isuikwuato,185895.9741,,,,,,,,,,,,,,,,
Abia,Obi Nwga,463748.4541,,,,,,,,,,,,,,,,
Abia,Ohafia,199576.7376,,,,,,,,,,,,,,,,
Abia,Osisioma Ngwa,558677.8389,,,,,,,,,,,,,,,,
Abia,Ugwunagbo,86627.5702,,,,,,,,,,,,,,,,
Abia,Ukwa East,67470.8249,,,,,,,,,,,,,,,,
Abia,Ukwa West,106842.7926,,,,,,,,,,,,,,,,
Abia,Umu-Nneochi,220614.5579,,,,,,,,,,,,,,,,
Abia,Umuahia North,308068.8085,,,,,,,,,,,,,,,,
Abia,Umuahia South,224345.4052,,,,,,,,,,,,,,,,
Adamawa,Demsa,150469.6337,,,,,,,,,,,,,,,,
Adamawa,Fufore,239979.6884,,,,,,,,,,,,,,,,
Adamawa,Ganye,192931.6416,,,,,,,,,,,,,,,,
Adamawa,Girei,181186.8923,,,,,,,,,,,,,,,,
Adamawa,Gombi,200932.5643,,,,,,,,,,,,,,,,
Adamawa,Guyuk,136843.6889,,,,,,,,,,,,,,,,
Adamawa,Hong,231758.0337,,,,,,,,,,,,,,,,
Adamawa,Jada,197998.8036,,,,,,,,,,,,,,,,
Adamawa,Lamurde,78434.1592,,,,,,,,,,,,,,,,
Adamawa,Madagali,128574.8406,,,,,,,,,,,,,,,,
Adamawa,Maiha,94183.1496,,,,,,,,,,,,,,,,
Adamawa,Mayo-Belwa,197334.9529,,,,,,,,,,,,,,,,
Adamawa,Michika,158182.441,,,,,,,,,,,,,,,,
Adamawa,Mubi North,180307.1535,,,,,,,,,,,,,,,,
Adamawa,Mubi South,170740.0858,,,,,,,,,,,,,,,,
Adamawa,Numan,80331.0079,,,,,,,,,,,,,,,,
Adamawa,Shelleng,121762.492,,,,,,,,,,,,,,,,
Adamawa,Song,239863.3654,,,,,,,,,,,,,,,,
Adamawa,Toungo,49834.2979,,,,,,,,,,,,,,,,
Adamawa,Yola North,206303.3767,,,,,,,,,,,,,,,,
Adamawa,Yola South,368752.0384,,,,,,,,,,,,,,,,
Akwa Ibom,Abak,161657.0086,,,,,,,,,,,,,,,,
Akwa Ibom,Eastern Obolo,19312.3599,,,,,,,,,,,,,,,,
Akwa Ibom,Eket,231350.8815,,,,,,,,,,,,,,,,
Akwa Ibom,Esit Eket,53616.3324,,,,,,,,,,,,,,,,
Akwa Ibom,Essien Udim,115335.0762,,,,,,,,,,,,,,,,
Akwa Ibom,Etim Ekpo,91539.0515,,,,,,,,,,,,,,,,
Akwa Ibom,Etinan,78133.4383,,,,,,,,,,,,,,,,
Akwa Ibom,Ibeno,44222.9481,,,,,,,,,,,,,,,,
Akwa Ibom,Ibesikpo Asutan,202048.984,,,,,,,,,,,,,,,,
Akwa Ibom,Ibiono Ibom,104322.6338,,,,,,,,,,,,,,,,
Akwa Ibom,Ika,37501.5796,,,,,,,,,,,,,,,,
Akwa Ibom,Ikono,116095.6231,,,,,,,,,,,,,,,,
Akwa Ibom,Ikot Abasi,124116.7133,,,,,,,,,,,,,,,,
Akwa Ibom,Ikot Ekpene,227297.7474,,,,,,,,,,,,,,,,
Akwa Ibom,Ini,96777.1229,,,,,,,,,,,,,,,,
Akwa Ibom,Itu,141059.5835,,,,,,,,,,,,,,,,
Akwa Ibom,Mbo,69092.5893,,,,,,,,,,,,,,,,
Akwa Ibom,Mkpat Enin,82999.1979,,,,,,,,,,,,,,,,
Akwa Ibom,Nsit Atai,46886.9437,,,,,,,,,,,,,,,,
Akwa Ibom,Nsit Ibom,55409.4971,,,,,,,,,,,,,,,,
Akwa Ibom,Nsit Ubium,88812.3168,,,,,,,,,,,,,,,,
Akwa Ibom,Obot Akara,74362.8989,,,,,,,,,,,,,,,,
Akwa Ibom,Okobo,61470.6669,,,,,,,,,,,,,,,,
Akwa Ibom,Onna,69201.6557,,,,,,,,,,,,,,,,
Akwa Ibom,Oron,119312.8096,,,,,,,,,,,,,,,,
Akwa Ibom,Oruk Anam,136993.3138,,,,,,,,,,,,,,,,
Akwa Ibom,Udung Uko,20599.6845,,,,,,,,,,,,,,,,
Akwa Ibom,Ukanafun,107806.5606,,,,,,,,,,,,,,,,
Akwa Ibom,Uruan,117372.1739,,,,,,,,,,,,,,,,
Akwa Ibom,Urue Offong-Oruko,48854.2567,,,,,,,,,,,,,,,,
Akwa Ibom,Uyo,542051.0411,,,,,,,,,,,,,,,,
Anambra,Aguata,436697.0714,,,,,,,,,,,,,,,,
Anambra,Anambra East,102936.7594,,,,,,,,,,,,,,,,
Anambra,Anambra West,27477.1951,,,,,,,,,,,,,,,,
Anambra,Anaocha,164136.1385,,,,,,,,,,,,,,,,
Anambra,Awka North,65268.241,,,,,,,,,,,,,,,,
Anambra,Awka South,243014.3155,,,,,,,,,,,,,,,,
Anambra,Ayamelum,75584.5071,,,,,,,,,,,,,,,,
Anambra,Dunukofia,76836.4904,,,,,,,,,,,,,,,,
Anambra,Ekwusigo,247284.6498,,,,,,,,,,,,,,,,
Anambra,Idemili North,575468.8109,,,,,,,,,,,,,,,,
Anambra,Idemili South,241855.6171,,,,,,,,,,,,,,,,
Anambra,Ihiala,357811.2608,,,,,,,,,,,,,,,,
Anambra,Njikoka,192143.9473,,,,,,,,,,,,,,,,
Anambra,Nnewi North,221114.916,,,,,,,,,,,,,,,,
Anambra,Nnewi South,212751.7749,,,,,,,,,,,,,,,,
Anambra,Ogbaru,160155.3636,,,,,,,,,,,,,,,,
Anambra,Onitsha North,202210.3353,,,,,,,,,,,,,,,,
Anambra,Onitsha South,84706.0179,,,,,,,,,,,,,,,,
Anambra,Orumba North,117156.0359,,,,,,,,,,,,,,,,
Anambra,Orumba South,169796.0113,,,,,,,,,,,,,,,,
Anambra,Oyi,254355.5521,,,,,,,,,,,,,,,,
Bauchi,Alkaleri,362218.7402,,,,,,,,,,,,,,,,
Bauchi,Bauchi,1106399.687,,,,,,,,,,,,,,,,
Bauchi,Bogoro,73421.4601,,,,,,,,,,,,,,,,
Bauchi,Dambam,186966.9639,,,,,,,,,,,,,,,,
Bauchi,Darazo,374451.2703,,,,,,,,,,,,,,,,
Bauchi,Dass,68763.5707,,,,,,,,,,,,,,,,
Bauchi,Gamawa,324234.8112,,,,,,,,,,,,,,,,
Bauchi,Ganjuwa,492864.8898,,,,,,,,,,,,,,,,
Bauchi,Giade,194222.8249,,,,,,,,,,,,,,,,
Bauchi,Itas-Gadau,269534.8425,,,,,,,,,,,,,,,,
Bauchi,Jama'are,78398.9897,,,,,,,,,,,,,,,,
Bauchi,Katagum,509023.2961,,,,,,,,,,,,,,,,
Bauchi,Kirfi,169863.8847,,,,,,,,,,,,,,,,
Bauchi,Misau,254129.1898,,,,,,,,,,,,,,,,
Bauchi,Ningi,402363.3813,,,,,,,,,,,,,,,,
Bauchi,Shira,301452.7932,,,,,,,,,,,,,,,,
Bauchi,Tafawa-Balewa,224143.708,,,,,,,,,,,,,,,,
Bauchi,Toro,427405.9482,,,,,,,,,,,,,,,,
Bauchi,Warji,100757.2783,,,,,,,,,,,,,,,,
Bauchi,Zaki,258412.4826,,,,,,,,,,,,,,,,
Bayelsa,Brass,55998.3922,,,,,,,,,,,,,,,,
Bayelsa,Ekeremor,102513.8792,,,,,,,,,,,,,,,,
Bayelsa,Kolokuma-Opokuma,48605.1011,,,,,,,,,,,,,,,,
Bayelsa,Nembe,32004.9445,,,,,,,,,,,,,,,,
Bayelsa,Ogbia,154405.6104,,,,,,,,,,,,,,,,
Bayelsa,Sagbama,103732.1235,,,,,,,,,,,,,,,,
Bayelsa,Southern Ijaw,136499.6541,,,,,,,,,,,,,,,,
Bayelsa,Yenegoa,466191.9304,,,,,,,,,,,,,,,,
Benue,Ado,97320.3358,,,,,,,,,,,,,,,,
Benue,Agatu,97127.425,,,,,,,,,,,,,,,,
Benue,Apa,156849.381,,,,,,,,,,,,,,,,
Benue,Buruku,203786.1252,,,,,,,,,,,,,,,,
Benue,Gboko,366013.4358,,,,,,,,,,,,,,,,
Benue,Guma,137860.6573,,,,,,,,,,,,,,,,
Benue,Gwer East,173199.4237,,,,,,,,,,,,,,,,
Benue,Gwer West,99899.19,,,,,,,,,,,,,,,,
Benue,Katsina-Ala,411120.5548,,,,,,,,,,,,,,,,
Benue,Konshisha,191629.5787,,,,,,,,,,,,,,,,
Benue,Kwande,374194.2894,,,,,,,,,,,,,,,,
Benue,Logo,289361.0838,,,,,,,,,,,,,,,,
Benue,Makurdi,484382.0264,,,,,,,,,,,,,,,,
Benue,Obi,89982.8918,,,,,,,,,,,,,,,,
Benue,Ogbadibo,123109.639,,,,,,,,,,,,,,,,
Benue,Ohimini,90467.0966,,,,,,,,,,,,,,,,
Benue,Oju,123143.0426,,,,,,,,,,,,,,,,
Benue,Okpokwu,132298.7832,,,,,,,,,,,,,,,,
Benue,Oturkpo,159855.4928,,,,,,,,,,,,,,,,
Benue,Tarka,53304.5592,,,,,,,,,,,,,,,,
Benue,Ukum,339565.3791,,,,,,,,,,,,,,,,
Benue,Ushongo,124189.5578,,,,,,,,,,,,,,,,
Benue,Vandeikya,129127.1265,,,,,,,,,,,,,,,,
Borno,Abadam,135760.3274,,,,,,,,,,,,,,,,
Borno,Askira-Uba,281027.3177,,,,,,,,,,,,,,,,
Borno,Bama,250440.4888,,,,,,,,,,,,,,,,
Borno,Bayo,168992.5932,,,,,,,,,,,,,,,,
Borno,Biu,289775.9136,,,,,,,,,,,,,,,,
Borno,Chibok,118923.1077,,,,,,,,,,,,,,,,
Borno,Damboa,190951.26,,,,,,,,,,,,,,,,
Borno,Dikwa,102234.1057,,,,,,,,,,,,,,,,
Borno,Gubio,171860.1275,,,,,,,,,,,,,,,,
Borno,Guzamala,127734.4799,,,,,,,,,,,,,,,,
Borno,Gwoza,276180.7135,,,,,,,,,,,,,,,,
Borno,Hawul,253529.6761,,,,,,,,,,,,,,,,
Borno,Jere,445745.4384,,,,,,,,,,,,,,,,
Borno,Kaga,130899.3899,,,,,,,,,,,,,,,,
Borno,Kala-Balge,67193.308,,,,,,,,,,,,,,,,
Borno,Konduga,194740.7099,,,,,,,,,,,,,,,,
Borno,Kukawa,136617.853,,,,,,,,,,,,,,,,
Borno,Kwaya Kusar,132714.4587,,,,,,,,,,,,,,,,
Borno,Mafa,141063.0577,,,,,,,,,,,,,,,,
Borno,Magumeri,272045.2321,,,,,,,,,,,,,,,,
Borno,Maiduguri,635562.262,,,,,,,,,,,,,,,,
Borno,Marte,154938.5883,,,,,,,,,,,,,,,,
Borno,Mobbar,192501.7927,,,,,,,,,,,,,,,,
Borno,Monguno,186832.2079,,,,,,,,,,,,,,,,
Borno,Ngala,145226.4957,,,,,,,,,,,,,,,,
Borno,Nganzai,143482.0664,,,,,,,,,,,,,,,,
Borno,Shani,229340.1423,,,,,,,,,,,,,,,,
Cross River,Abi,104224.5216,,,,,,,,,,,,,,,,
Cross River,Akamkpa,113083.7172,,,,,,,,,,,,,,,,
Cross River,Akpabuyo,150813.4611,,,,,,,,,,,,,,,,
Cross River,Bakassi,19336.9218,,,,,,,,,,,,,,,,
Cross River,Bekwarra,206947.6159,,,,,,,,,,,,,,,,
Cross River,Biase,102120.1199,,,,,,,,,,,,,,,,
Cross River,Boki,186000.0195,,,,,,,,,,,,,,,,
Cross River,Calabar Municipal,116264.7902,,,,,,,,,,,,,,,,
Cross River,Calabar South,468435.1919,,,,,,,,,,,,,,,,
Cross River,Etung,56484.5846,,,,,,,,,,,,,,,,
Cross River,Ikom,207818.667,,,,,,,,,,,,,,,,
Cross River,Obanliku,139015.9681,,,,,,,,,,,,,,,,
Cross River,Obubra,139957.2753,,,,,,,,,,,,,,,,
