State,Population
Abia,4083570
Adamawa,3606704
Akwa Ibom,3485613
Anambra,4228761
Bauchi,6179030
Bayelsa,1099952
Benue,4447787
Borno,5576313
Cross River,2969531
Delta,3665151
Ebonyi,2771532
Edo,4020369
Ekiti,2073712
Enugu,2854860
"Fct, Abuja",3830663
Gombe,2861075
Imo,7151542
Jigawa,5698878
Kaduna,8620189
Kano,13724246
Katsina,8504419
Kebbi,4051883
Kogi,2866671
Kwara,2591236
Lagos,9519846
Nasarawa,3834118
Niger,5625974
Ogun,9506520
Ondo,4093637
Osun,4747219
Oyo,6922833
Plateau,3639275
Rivers,5289909
Sokoto,5123173
Taraba,4228507
Yobe,3409358
Zamfara,3457181
