,Operator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Active Lines,Mobile (GSM),"172,485,805","144,631,678","154,124,602","148,681,362","136,772,475","124,841,315","109,829,223","90,566,238","81,195,684","65,533,875","56,935,985","40,011,296",N/A,N/A,N/A
, Mobile (CDMA),"124,092","217,566","217,566","2,148,727","2,187,845","2,404,777","2,948,562","4,601,070","6,102,105","7,565,435","6,052,507","384,315",N/A,N/A,N/A
, Fixed Wired/Wireless,"140,491","139,344","154,513","187,155","183,290","360,537","418,166","719,406","1,050,237","1,418,954","1,307,625","1,579,664",N/A,N/A,N/A
, VoIP,"120,706","70,926", , , , , , , , , , , , , 
, Total,"172,871,094","145,059,514","154,529,780","151,017,244","139,143,610","127,606,629","113,195,951","95,886,714","88,348,026","74,518,264","64,296,117","41,975,275",N/A,N/A,N/A
Connected Lines,Mobile (GSM),"251,646,091","236,927,497","231,601,485",N/A,"184,782,512","159,758,538","135,253,599","109,822,964","96,684,272",N/A,N/A,N/A,"32,184,861","18,295,896","9,174,209"
, Mobile (CDMA),"254,339","3,586,095","3,586,095",N/A,"3,743,811","7,684,026","14,041,464","12,687,645","12,132,584",N/A,N/A,N/A,N/A,N/A,N/A
, Fixed Wired/Wireless,"357,059","345,107","352,045",N/A,"365,871","2,233,981","2,419,587","2,290,409","2,736,373",N/A,N/A,N/A,"1,673,161","1,223,258","1,027,519"
, VoIP,"775,374","472,853", , , , , , , , , , , , , 
, Total,"253,032,863","241,331,552","235,598,861",N/A,"188,892,194","169,676,545","151,714,650","124,801,018","111,517,229",N/A,N/A,N/A,"33,858,022","19,519,154","10,201,728"
Installed Capacity,Mobile (GSM),N/A,N/A,N/A,N/A,N/A,"218,522,048","182,065,415","147,004,674","131,319,542","121,785,526","95,291,096","76,545,308",N/A,N/A,N/A
, Mobile (CDMA),N/A,N/A,N/A,N/A,N/A,"18,400,000","18,400,000","17,232,725","17,172,670","14,829,931","10,611,867","1,540,000",N/A,N/A,N/A
, Fixed Wired/Wireless,N/A,N/A,N/A,N/A,N/A,"11,342,677","11,342,677","9,394,042","9,347,771","9,388,145","6,830,245","6,578,303",N/A,N/A,N/A
, Total,N/A,N/A,N/A,N/A,N/A,"248,353,725","211,808,092","173,631,441","157,839,983","146,003,602","112,733,208","84,663,611",N/A,N/A,N/A
, Teledensity [1],123.48,103.61,110.38,107.87,99.39,91.15,80.85,68.49,63.11,53.23,45.93,29.98[2],24.18,16.27,8.5
