Service Provider,Total Connected,Total Active,Points of Presence
IS INTERNET SOLUTIONS,433,433,628
SPECTRANET,"236,875","139,207",633
VDT,"1,890","1,393",38
COBRANET,"3,124","3,124",80
WAVETEK,5,5,-
NETACCESS COMMUNICATIONS NIGERIA,17,17,1
MAIN ONE CABLE,"1,055","1,055",41
LAYER3 LTD,79,74,2
WINROCK LTD,76,81,18
KHAL COMMUNICATIONS,88,59,18
MOBITEL LIMITED,-,-,2
TRAKATEL LIMITED,80,76,5
TELSERVE NETWORKS LIMITED,3,3,2
ipNX,"10,896","6,426",58
PLATINUM INDEX DATA COMMUNICATIONS,35,30,2
COSCHARIS TECHNOLOGIES,37,36,1
EXCELSIMO,373,370,23
BAT,22,19,5
EKOVOLT,51,51,4
TREFOIL NETWORKS LIMITED,47,2,2
FUTURECOM,33,35,1
VODACOM,"1,387","1,387",6
CONTENT OASIS LTD,325,265,15
HYPERIA LIMITED,"1,854","1,854",5
NANOCOM INTERNATIONAL LIMITED,50,50,10
E-SENSE TECHNOLOGY,30,11,4
CBC EMEA,55,41,1
COQUINA  SOFTWARE COY LTD,58,58,5
JUNIPER,105,105,1
TEHILAH BASED LTD,229,179,2
TIZETI,"7,900","6,589",107
CENTER POINT NETWORK,11,11,9
VPS TECHNOLOGIES,2,2,-
CLOUD COVER,525,324,-
ICSL,575,410,30
ESTREAM NETWORKS,130,130,98
ORANGE LTD,144,-,2
CONNECTFOCUS,-,-,1
SKYMAX,358,278,12
ARROWFAST LIMITED,"4,500","4,500",3
ARCELOR NETWORKS,631,426,15
ZETA WEB NIGERIAN LIMITED,313,253,-
PRIORITY COMMUNICATIONS LIMITED,-,-,1
SYSCOMPTECH COMMUNICATION LIMITED,82,45,1
ELECTRONIC CONNECTIONS LIMITED,105,105,1
EJALET TECH SERVICES LIMITED,2,2,3
COMTERNET WORLD LIMITED,15,7,3
ODUA TELECOMS,4,3,1
BACKBONE CONNECTIVITY NETWORK NIGERIA LTD,108,108,1
TOTAL,"274,717","169,639","1,283"
