,Operator,Apr'20,Mar'20,Feb'20,Jan'20,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'19,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18,Jul'18,Jun'18,May'18,Apr'18,Mar'18,Feb'18,Jan'18,Dec'17,Nov'17,Oct'17,Sep'17,Aug'17,Jul'17,Jun'17,May'17,Apr'17
Active Lines,Mobile (GSM),"190,475,494","188,989,051","187,146,978","185,742,016","184,426,187","182,435,340","180,118,345","178,902,194","176,617,059","174,668,626","173,749,601","173,405,294","173,383,803","173,432,863","173,276,528","173,625,306","172,485,805","168,729,005","164,865,417","161,685,747","160,520,993","161,425,760","162,307,346","162,075,116","160,081,051","148,854,338","147,961,791","146,865,145","144,631,678","141,900,405","140,350,383","139,486,832","139,027,283","138,731,598","142,654,738","144,944,292","148,774,015"
, Mobile (CDMA),-,-,-,-,-,-,-,-,-,-,-,-,-,"4,460","123,547","124,257","124,092","124,815","126,032","126,269","119,008","125,444","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566"
, Fixed Wired/Wireless,"107,443","107,491","107,055","107,272","107,154","107,742","107,521","107,250","107,014","109,274","109,182","109,247","108,033","134,019","134,660","134,814","140,491","135,696","135,862","137,658","140,806","140,582","140,627","137,010","136,496","136,781","137,570","137,262","139,344","137,190","137,216","142,070","142,478","142,262","142,316","142,496","153,804"
, VoIP,"223,130","186,254","181,788","174,321","166,068","159,906","160,450","167,486","173,806","172,111","165,333","157,792","149,224","142,500","135,300","127,759","120,706","115,314","112,132","109,244","105,678","101,131","97,941","93,080","89,477","85,185","81,498","76,371","70,926","64,949","61,488","58,745","56,900","53,297","49,870","46,348","104,125"
, Total,"190,806,067","189,282,796","187,435,821","186,023,609","184,699,409","182,702,988","180,386,316","179,176,930","176,897,879","174,950,011","174,024,116","173,672,333","173,641,060","173,713,842","173,670,035","174,012,136","172,871,094","169,104,830","165,239,443","162,058,918","160,886,485","161,792,917","162,763,480","162,522,772","160,524,590","149,293,870","148,398,425","147,296,344","145,059,514","142,320,120","140,766,653","139,905,213","139,444,227","139,144,705","143,064,490","145,350,702","149,249,510"
Connected Lines,Connected LinesMobile (GSM),"281,066,066","279,117,615","271,829,445","269,835,804","268,549,433","268,483,898","265,613,702","264,399,345","263,621,409","259,143,276","258,493,026","254,921,942","253,044,771","250,261,511","248,447,337","249,224,407","251,646,091","246,751,788","243,746,219","242,749,755","240,432,680","238,219,577","239,339,812","240,259,751","238,032,318","238,116,977","237,621,583","237,755,757","236,927,497","237,010,282","236,714,473","237,794,009","236,603,992","237,629,645","236,895,278","238,792,449","234,598,135"
, Mobile (CDMA),-,-,-,-,-,-,-,-,-,-,-,-,-,"9,561","256,753","255,633","254,339","252,765","250,096","250,096","247,983","246,126","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095","3,586,095"
, Fixed Wired/Wireless,"216,356","216,054","216,539","215,568","215,433","215,270","214,903","214,863","213,546","215,907","215,867","214,702","213,071","357,926","357,664","359,253","357,059","351,261","350,891","351,182","351,103","350,998","350,644","345,210","344,892","335,485","345,195","345,195","346,107","342,792","342,641","376,293","375,740","376,437","342,011","341,574","342,443"
, VoIP,"1,001,053","990,414","988,823","971,633","952,292","934,134","917,731","898,986","902,866","880,531","870,137","852,043","817,116","817,116","806,170","792,279","775,374","759,338","740,226","714,111","690,042","667,763","642,734","611,376","575,712","542,063","515,231","523,298","472,844","239,091","226,254","213,863","203,232","190,450","177,406","164,861","151,589"
, Total,"282,283,475","280,324,083","273,034,807","271,023,005","269,717,158","269,633,302","266,746,336","265,513,194","264,737,821","260,239,714","259,579,030","255,988,687","254,074,958","251,446,114","249,867,924","250,631,262","253,032,863","248,115,152","245,087,432","244,065,144","241,721,808","239,484,464","243,919,285","244,802,432","242,539,017","242,580,620","242,068,104","242,210,345","241,331,543","241,178,260","240,869,463","241,970,260","240,769,059","241,782,627","241,000,790","242,885,029","238,678,262"
, Teledensity,99.96,99.16,98.19,97.45,96.76,95.71,94.5,93.87,92.67,91.65,91.17,90.98,90.97,91,124.05,124.29,123.48,120.79,118.03,115.76,114.92,115.57,116.26,116.09,114.66,106.64,106,105.21,103.61,101.66,100.55,99.93,99.6,99.39,102.19,103.82,106.61
